MODELLO;PESO;LUNGHEZZA;SIGLA_A
Light;2800kg;L2;X
Light;3000kg;L2;1
Light;3000kg;L3;2
Light;3000kg;L4;3
Light;3000kg;L2+;M
Light;3000kg;L0;N
Light;3300kg;L2;5
Light;3300kg;L3;6
Light;3300kg;L4;7
Light;3300kg;L0;8
Light;3300kg;L2+;K
Light;>3500kg;L2;A
Light;>3500kg;L3;B
Light;>3500kg;L4;C
Light;>3500kg;L0;D
Light;>3500kg;L2+;L
Heavy;<3510kg;L2;A
Heavy;<3510kg;L3;B
Heavy;<3510kg;L4;C
Heavy;<3510kg;L0;D
Heavy;<3510kg;L2+;L
Heavy;>4100kg;L2;F
Heavy;>4100kg;L3;G
Heavy;>4100kg;L4;H
Heavy;>4100kg;L0;J
Heavy;>4100kg;L2+;P
Heavy;>4100kg;L3H3;Q
