ALTEZZA;BODY;CODICE_B
H1;CABINATI (TEMPO LIBERO);1
;SCUDATI (TEMPO LIBERO);2
H2;FURGONE LASTRATO (TEMPO LIBERO);3
H3;FURGONE LASTRATO (TEMPO LIBERO);4
H1;CABINATI SPECIAL (TEMPO LIBERO);5
;SCUDATI SPECIAL (TEMPO LIBERO);6
H1;CASSONATO CABINA SINGOLA;7
H1;FURGONE LASTRATO (TEMPO LIBERO);8
H1;CASSONATO CABINA DOPPIA;9
H3;FURGONE  LASTRATO  ;A
H1;CABINATO CABINA SINGOLA;C
H1;CABINATO CABINA DOPPIA;D
H2;FURGONE  LASTRATO  ;G
H2;FURGONE  VETRATO  ;H
H1;FURGONE  LASTRATO  ;L
H2;FURGONE  FIANCATA MISTA (SEMIVETRATO);X
