OPTIONAL - DESCRIZIONE;OPTIONAL - DESCRIPTION; 
TARGHETTA AUTOADESIVA;A/C fluid Label;121
SPECIFICITA' PAESI FREDDI;COLD COUNTRIES SPECIFIC CONTENTS;129
PARABREZZA RISCALDABILE;Heated Windscreen;253
CASSONE AUTOCARRO                 ;Dropsde;288
Rearview camera kit predisposition for conversions;Rearview camera kit predisposition for conversions;CMW
Rearview camera kit predisposition for conversions;Rearview camera kit predisposition for conversions;CMW
TELECAMERA VISIBILITA' POSTERIORE CON LINEE DINAMICHE;Rear visibility camera with dynamic gridlines;316
PORTASCALA E GRIGLIA PROTEZIONE LUNOTTO;Ladder holder and cab protection grille;475
Russia kit (ONLY HANDBOOK);Russia kit (ONLY HANDBOOK);518
GANCI TRATTENIMENTO MERCI VANO CARICO;Hooks for locking goods in cargo area;734
SERBATOIO CARBURANTE DA 90 LITRI;90 Liters Fuel Tank;738
TBM basic connectivity for intelligent speed assist;TBM basic connectivity for intelligent speed assist; 
BATTERIA POTENZIATA (L6);Powerful battery (L6-105 Ah);782
LIBRETTO POLACCO/LINGUA;Polish Warranty Book;858
COPPE RUOTE INTEGRALI;Full wheel hub caps;878
SKID PLATE MY24 NERO;Skid Plate MY24 Black;901
GANCIO TRAINO ESTRAIBILE;Foldable towing hook;960
SIMPLE TWO-SEATER PASSENGER SEAT WITH 3 POINT SEAT BELT FOR MIDDLE PASSENGER;SIMPLE TWO-SEATER PASSENGER SEAT WITH 3 POINT SEAT BELT FOR MIDDLE PASSENGER;9VX
SIMPLE TWO-SEATER PASSENGER SEAT WITH 3 POINT SEAT BELT FOR MIDDLE PASSENGER;SIMPLE TWO-SEATER PASSENGER SEAT WITH 3 POINT SEAT BELT FOR MIDDLE PASSENGER;9VX
CAMBIO AUTOMATICO AT8;AT8 Automatic Transmission;7
ADEGUAMENTI OMOLOGATIVI 28 Qli;Homologative adaptation 28 Qli;19
DISPOSITIVO SEGNALATORE RETROMARCIA INSERITA;Pedestrian warning speaker;01P
KIT ZONE POLVEROSE;Dust protection kit;22
CLIMATIZZATORE MANUALE;Manual climate control ;25
FRENO STAZIONAMENTO ELETTRICO;Electric parking brake;26
LUNOTTO TERMICO;Rear heated window;29
ALTERNATORE STANDARD (180 A);Standard alternator (180 A);02S
BATTERIA STANDARD (L5);Standard battery (L5 - 95Ah);02T
SERVOSTERZO ELETTRICO STANDARD;Standard electric power steering;03C
CAMBIO MANUALE;Manual transmission;03F
"RUOTE LAMIERA STANDARD 15""";"15"" Standard steel wheels";03G
REGOLAZIONE ELETTRICA CON SBRINAMENTO SPECCHI RETROVISORI ESTERNI;Exterior power and defrosting mirrors;41
KIT CARROZZABILITA' 2350mm;External rear-view mirrors for body size kit 2.35 m ;42
CONTAMIGLIA;Miles Counter;46
CONTACHILOMETRI;KM Counter;50
SENSORE PIOGGIA E CREPUSCOLARE + AUTOMATISMO ABBAGLIANTI;Dusk and rain sensor + high beam recognition;51
2› PORTA LATERALE SCORREVOLE;2nd sliding side door ;55
SOSPENSIONI POSTERIORI MAGGIORATE 2500 KG;Oversized rear suspensions 2.500 kg;57
SAFE LOCK (SUPERBLOCCAGGIO);?Dead locking? safety locks ;64
"CRISTALLI LATERALI ""PRIVACY""";Privacy side windows;70
SOSPENSIONE POSTERIORE BILAMA;Double leaf rear suspensions ;77
