CODICE OPT;INCOMPATIBILITÀ
02T;[081 - 782 - 7MB]
055;"[62E - Z6L - AXF - 640]
[070 - 62E - Z6L - AXF - 640] on Glazed and Half Glazed L3-L4
[62E - Z6L - AXF - 640] on Glazed and Half Glazed L2"
081;[02S - 02T]
0BX;Nessuna incompatibilità
140;[025 - 57A - CMX - CMY]
1RB;[2PX - 2PZ - 6QD - 3JO - 5BH - 4HE - CMX - CMY - 1RC]
237;Nessuna incompatibilità
2PX;[3JO - 2PZ - 5BH - 6QD  - 1RB - 4HE - CMX - CMY - CMW - 1RC]
2PZ;[3JO - 2PX - 75Q - 5BH - 6QD - 57A - 1RB - 4HE - CMX - CMY - 1RC]
316;[75M - 8EJ - 4HE - C3X - C3Y - C8N - C8P - C8Q - CMW -CMX -CMY]
4HE;[2PX - 1RB - 2PZ - 316 - 6QD - CMX - CMY - CMW]
4TI;[132 - 2QC - 297 - 453 - 454 - 505 - 640 - 727  - 950 - 4GP - 4GQ - 4MZ - 293 - 6QZ - 9VX]
58E;[4XH - XR8 - 5BF - CTU]
5BF;[XR8 - 58E - CTU]
5BH;[2PX - 2PZ - 8EJ - 1RB - CMX - CMY - 1RC]
5EM;Nessuna incompatibilità
5KA;Nessuna incompatibilità
5KC;Nessuna incompatibilità
5KK;Nessuna incompatibilità
640;[132 - 727 - 4EB - 453 - 505 - 4P4 - 4TI - 4GP - 7Q5  - 7WV - Z6L - 055 - 72X - 292 - JCQ - JC3]
6QD;[3JO - 2PX - 2PZ - 8EJ - 1RB - 4HE - CMX - CMY - 1RC]
72X;[149 - 199 - 4MZ - 8XD - 5V7 - 5V6 - 8X7 - 640] 
75H;Nessuna incompatibilità
802;Nessuna incompatibilità
823;Nessuna incompatibilità
850;Nessuna incompatibilità
851;Nessuna incompatibilità
852;Nessuna incompatibilità
853;Nessuna incompatibilità
856;Nessuna incompatibilità
898;Nessuna incompatibilità
8PA;Nessuna incompatibilità
GRG;[CMX -CMY]
MNG;Nessuna incompatibilità
RFX;[57A - CMX - CMY]
RS3;Nessuna incompatibilità
XR8;[8A3 - 58E - 5BF - CTU]
Z6L;[149 - 199 - 361 - 4FP - 4GT - 727 - 7MB  -  5V6 - 5V7  - 8XD - LHA - A8J - 4G8 - 055 - 640]
CMX;[2PX - 2PZ - 6QD - 3JO - 5BH - 4HE - 1RB - 140 - CMY - RFX - 316 - GRG - 8EJ - 1RC]
CMY;[2PX - 2PZ - 6QD - 3JO - 5BH - 4HE - 1RB - 140 - CMX - RFX - 316 - GRG - 8EJ - 1RC]
CPK;"[700 - 702 - 701 - 6HN - 6HP - 75Q - A8J - 4GT - A8Z] on N1 Van versions Jupiter
[700 - 702 - 701 - 6HN - 6HP - 75Q - A8Z] on all the rest of the range except N1 Vans Jupiter"
129;[022 - 121 - 7UY - 6QZ - 6R0 - 727 - 4MZ]
201;[AJ6]
901;[4WH - 4BJ]
972;Nessuna incompatibilità
007;[03F]
01P;Nessuna incompatibilità
022;[129]
025;[140]
026;"[132 - 297 - 454] ON RANGE CAMPER
[4MZ] ON RANGE BEV, Euro 7 Net RV"
029;[516 -  02S - AXF]
02S;[081 - 253 - 029 - 7KK - 7MB]
03C;Nessuna incompatibilità
03F;[007]
03G;[431 - 0R2 - 1LR - 5EV]
041;[220]
042;[341 - 57A -  220 - XAN]
046;[050]
050;[046]
051;[57A  - 38C]
057;[077 - 4GM - 78Z - A2Q - A2R - C3X - C3Y - C8N - C8P - C8Q]
064;[4YR]
070;"[055 - 62E] on Glazed and Half Glazed L3-L4
[62E - 5SF - 4EV]"
077;[ 4GM - 057 - 78Z - A2Q - A2R - C3X - C3Y - C8N - C8P - C8Q]
07E;Nessuna incompatibilità
0AA;[2NC]
0R2;[431 - 878 - 03G - 1LR - 5EV - 280]
0TK;[650 - 0TL - 62E]
0TL;[0TK - 650]
0UQ;Nessuna incompatibilità
