CODICE OPT;MUST HAVE
129;"[(887 + 205 + 453  + 253 + 50E + 7KK + 8RS) or ( 887 + 205 + 640  + 253 + 50E + 7KK + 8RS) on Net RV Euro Euro 7

[(453  + 253)] on Net RV BEV+ Camper BEV
"
901;[MBP]
960;Nessun must have
972;Nessun must have
007;Nessun must have
01P;Nessun must have
022;Nessun must have
025;Nessun must have
026;"[8RS o 727 o 9RV] on BEV, Euro 7
[(4EB + 4TI)] Chassis Cab, Chassis Special cab, Motor Cab Camper ICE"
029;"[519 + 7KK] on Panel Van Euro 7
[519] on Bev"
02S;Nessun must have
02T;Nessun must have
03G;Nessun must have
041;Nessun must have
042;Nessun must have
050;Nessun must have
051;Nessun must have
055;Nessun must have
057;Nessun must have
064;[213]
070;[029 + 519 + 520] su Furgoni Lastrati
077;Nessun must have
07E;Nessun must have
081;[7KK + 782] on Panel Van Euro 7
0AA;Nessun must have
0R2;[78D] su gamma TL 
0TK;[835]
0TL;Nessun must have
0UQ;Nessun must have
0XW;[8RS] on Euro 7
0Y8;Nessun must have
121;Nessun must have
132;Nessun must have
140;Nessun must have
142;Nessun must have
143;Nessun must have
144;Nessun must have
149;Nessun must have
197;[747] su Furgoni
199;Nessun must have
1CQ;Nessun must have
1LR;Nessun must have
1RB;[RS3] on Euro 7 for Fiat and PCOV
205;Nessun must have
210;Nessun must have
213;[064]
220;Nessun must have
237;Nessun must have
23W;Nessun must have
253;[7KK] on Panel Van Euro 7
280;Nessun must have
288;Nessun must have
28T;Nessun must have
292;[743]
293;"[502] 
[502] + [149 or 199] for camper BEV"
297;"[454 + CJ1] on LCV except TME
[454] on Camper & TME"
2M9;Nessun must have
2NC;Nessun must have
2PX;Nessun must have
2PZ;"[140 + RS3] for Fiat and PCOV Euro 7
[140 + 3YC] for Toyota and Jupiter"
2QC;"[8RS + 502]
[8RS + 502] + [149 or 199] for camper ICE & BEV"
2QF;Nessun must have
2V8;"[LPZ + 316] on all retail
[LPZ] on campers"
2VW;Nessun must have
316;"[RFX or BK9 o  BPX o BPY or BPS or BPU] on Van Camper
[2PX or 1RB or 2PZ] on  Euro 7"
31Q;Nessun must have
31R;Nessun must have
320;"[5BH o 2PX o 2PZ o 1RB] on Camper
[8RS] on Euro 7"
32D;Nessun must have
341;Nessun must have
358;Nessun must have
361;Nessun must have
38C;[5EM]
391;Nessun must have
392;Nessun must have
3JO;Nessun must have
3YC;[RTK + 2PZ]
40B;Nessun must have
431;"[78D] su gamma RETE e TL escluso Cabine Motrici RETE
[78D + 144] su Cabine Motrici RETE"
453;[8RS + 026] 
454;[297] 
475;Nessun must have
48D;Nessun must have
498;Nessun must have
499;"[5SB] on Toyota
[8FP] on Camper"
4B0;Nessun must have
4BJ;Nessun must have
4DH;Nessun must have
4DZ;Nessun must have
4EA;"[A2Q or A2R] on Dropside single  cab
[A2Q] on Dropside double cab  "
4EB;"[4TI+72X] on Net RV excluded Am250
[4TI] on Camper"
4EV;[7B2 + 980]
4FP;Nessun must have
4GM;"[A2Q or A2R] on Dropside single  cab
[A2Q] on Dropside double cab  "
4GP;[4GQ + 4N5] or [4GQ + 7Q5] 
4GQ;[4GP + 4N5] or [4GP + 7Q5] 
4GS;(743) on Chassis Cab 35q NET RV
4GT;"[081+72X] sugamma Rete Furgoni
[72X] su gamma Furgoni Vetrati e SemiVetrati Rete
[743] su Chassis Cabi RETE "
4H2;Nessun must have
4HB;Nessun must have
4HH;Nessun must have
4MZ;Nessun must have
4N5;"(4TI+4EB) on Panel Van (TL), Chassis Cab (TL), Chassis Cab Special (TL), Motor Cab (TL) and on BEV Camper
[(4GP+4GQ) o 9EW] su Cowl (TL), Motor Cowl (TL), Cowl Special (TL)"
4NF;Nessun must have
4P4;[7Q5]
4TD;[2PZ]
4TI;[4EB + 50E + 4N5] or [4EB + 50E + 7Q5] or [4EB + 50E + 732] 
4WH;Nessun must have
4XH;Nessun must have
4YV;Nessun must have
500;Nessun must have
502;[293 or 2QC or 9VX]
505;[(297 + 835 + CJ1 + 8RS + 454 + 026) or (297 + 835 + CJ1 + 8RS + 454 + 453 + 026)
508;Nessun must have
50E;[8RS] on Euro 7 Retail
516;Nessun must have
519;"[029 + 7KK] su Furgone Lastrato Euro 7
[029] on Bev"
51Q;Nessun must have
520;Nessun must have
52X;Nessun must have
