CODICE OPT;MUST HAVE
129;[(887 + 205 + 6.40  + 253 + 50E + 7KK + 026 + 8RS) on Net RV Euro Euro 6E / Euro VI E or [(887 + 205) on Euro 5/6.1/6.4PL8 or [(453  + 253 + 50E + 8RS)] on Net RV BEV+ Camper BEV or (887) on Camper Euro 6E / Euro VI E
901;[MBP]
960;Nessun must have
972;Nessun must have
007;Nessun must have
01P;Nessun must have
022;Nessun must have
025;Nessun must have
026;[8RS or (4EB + 4TI)] on Panel Van Camper ICE or [(4EB + 4TI)] Chassis Cab Chassis Special cab Motor Cab Camper ICE
029;[519 + 7KK] on Panel Van Euro 6E Euro4 Euro5 Euro6.1 Euro 6.4PL8 or [519] on Bev and Hydrogen
02S;Nessun must have
02T;Nessun must have
03G;Nessun must have
041;Nessun must have
042;Nessun must have
050;Nessun must have
051;Nessun must have
055;Nessun must have
057;Nessun must have
064;[213]
070;[029 + 519 + 520] su Furgoni Lastrati
077;Nessun must have
07E;Nessun must have
081;[7KK + 782] on Panel Van Euro 6E Retail and Euro 3 4 5 6.1 6.4PL8 or [7KK] on Panel Van Euro 6.4PL8
0AA;Nessun must have
0R2;[78D] su gamma TL 
0TK;[83.5]
0TL;Nessun must have
JZ9;[83.5]
0UQ;Nessun must have
0XW;Nessun must have
0Y8;Nessun must have
121;Nessun must have
132;Nessun must have
140;Nessun must have
142;Nessun must have
143;Nessun must have
144;[404] or [431] on light MT 3.5 Tons net RV 6E/VI E Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
149;Nessun must have
197;[747] su Furgoni
199;Nessun must have
1CQ;Nessun must have
1LR;Nessun must have
1RB;[RS3] on Euro 6E retail Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4 PL8 for Fiat and PCOV
205;Nessun must have
210;Nessun must have
213;[06.4]
220;Nessun must have
237;Nessun must have
23W;Nessun must have
253;[7KK] on Panel Van Euro 6EEuro 3 Euro4 Euro5 Euro6.1 Euro 6.4PL8 or [042 or 341] on Chassis Cab Camper
280;Nessun must have
288;Nessun must have
28T;Nessun must have
292;[743]
293;[502] for camper ICE & BEV
297;[454 + CJ1] on LCV except TME or [454] on Camper & TME
2M9;Nessun must have
2NC;Nessun must have
2PX;Nessun must have
2PZ;[140 + RS3] for Fiat and PCOV Euro 6E Euro 3 Euro 4 Euro 5 Euro6.1 Euro 6.4 PL8 or [140 + 3YC] for Toyota and Jupiter
2QC;[8RS] except for camper ICE and BEV or [8RS + 502] for camper ICE & BEV
2QF;Nessun must have
2V8;[LPZ + 316]
2VW;Nessun must have
316;[1RB or 2PZ]
31Q;Nessun must have
31R;Nessun must have
320;[5BH o 2PX o 2PZ o 1RB o CMX o CMY] on Camper or [(5BH o 2PX o 2PZ o 1RB] on Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4 PL8
32D;Nessun must have
341;Nessun must have
358;Nessun must have
361;Nessun must have
38C;[5EM]
391;Nessun must have
392;Nessun must have
3JO;Nessun must have
3YC;[RTK + 2PZ]
404;[144 or 941] on light MT  3.5 Tons net RV 6E/VI E Euro 3 Euro4 Euro5 Euro6.1 Euro 6.4PL8
40B;Nessun must have
431;[78D] su gamma RETE e TL escluso Cabine Motrici RETE or [78D + 144] su Cabine Motrici RETE
453;[8RS + 026] 
454;[297] 
475;Nessun must have
48D;Nessun must have
498;Nessun must have
499;[5SB] on Toyota or [8FP] on Camper or [5SB + 8F5 o 5SB + 8F6 o 5SB + 8F7 o 5SB + 8F8 o 5SB + 8FA o 5SB + 8FP o 5SB + 8H7] on Euro 3 Euro 4 Euro 5 Euro 6.1 Euro 6.4PL8
4B0;Nessun must have
4BJ;Nessun must have
4DH;Nessun must have
4DZ;Nessun must have
4EA;[A2Q or A2R] on Dropside single cab or [A2Q] on Dropside double cab  
4EB;[4TI+72X] on Net RV excluded Am250 or [4TI] on Camper
4EV;[7B2 + 980]
4FP;Nessun must have
4GM;[A2Q or A2R] on Dropside single cab or [A2Q] on Dropside double cab  
4GP;[4GQ + 4N5 + J2J] or [4GQ + 7Q5 + J2J] 
4GQ;[4GP + 4N5 + J2J] or [4GP + 7Q5 + J2J] 
4GS;(743) on Chassis Cab 3.5q NET RV  or (743 + 0TL) on Chassis Cab 40q NET RV 
4GT;[081+72X] sugamma Rete Furgoni or [72X] su gamma Furgoni Vetrati e SemiVetrati Rete or [743] su Chassis Cabi RETE 
4H2;Nessun must have
4HB;Nessun must have
4HH;Nessun must have
4MZ;Nessun must have
4N5;(4TI+4EB+7WV) on ICE Camper or (4TI+4EB) on BEV Camper
4NF;Nessun must have
4P4;[7Q5]
4TD;[2PZ]
4TI;[4EB + 50E + 4N5 + J2J] or [4EB + 50E + 7Q5 + J2J] or [4EB + 50E + 732 + J2J] 
4WH;Nessun must have
4XH;Nessun must have
4YV;Nessun must have
500;Nessun must have
502;[293 or 2QC or 9VX]
